I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-9, 34, 43, -12, -26, 39, 24, 9, 68, 53, 9, 112, 
-9, 19, 29, -4, -19, 24, 24, 14, 58, 39, -4, 107, 
-19, 0, 19, 9, -19, 9, 19, 4, 39, 14, -14, 82, 
-34, -19, 14, 26, -24, -2, 19, 4, 34, 9, -19, 78, 
-29, -29, 0, 29, -14, -14, 19, 0, 24, 0, -24, 73, 
-34, -34, 0, 34, -17, -17, 14, -9, 19, -4, -29, 63, 
-29, -24, 4, 26, -17, -9, 19, -9, 24, 4, -29, 68, 
-14, -14, 0, 14, -7, -7, 24, 0, 29, 9, -29, 73, 
-4, -4, 0, 4, -2, -2, 29, 14, 29, 14, -24, 82, 
0, 14, 14, -7, -7, 14, 34, 24, 29, 14, -24, 87, 
9, 9, 0, -9, 4, 4, 34, 24, 29, 14, -19, 82, 
0, -4, -4, 2, 2, -4, 43, 24, 29, 9, -19, 82, 
-4, -24, -19, 14, 7, -21, 48, 24, 29, 9, -19, 82, 
-14, -34, -19, 24, 2, -26, 53, 24, 29, 9, -24, 73, 
-24, -19, 4, 21, -14, -7, 58, 9, 24, -4, -29, 73, 
-34, -24, 9, 29, -21, -7, 53, 9, 19, -4, -34, 73, 
-58, -24, 34, 41, -46, 4, 68, 9, 14, -4, -39, 68, 
-58, -19, 39, 39, -48, 9, 68, 19, 14, -4, -43, 68, 
-73, -24, 48, 48, -61, 12, 73, 9, 24, -4, -43, 68, 
-73, -24, 48, 48, -61, 12, 82, 9, 24, -4, -43, 68, 
-78, -24, 53, 51, -65, 14, 82, 9, 24, -4, -48, 68, 
-78, -24, 53, 51, -65, 14, 82, 9, 24, -4, -53, 68, 
-78, -43, 34, 61, -56, -4, 92, 9, 24, -4, -63, 63, 
-82, -43, 39, 63, -61, -2, 92, 9, 19, -4, -68, 48, 
-82, -43, 39, 63, -61, -2, 97, 9, 14, -9, -68, 43, 
